Invoice ID,Date,Category,Region,Customer Type,Payment Method,Quantity,Unit Price,Total,Product ID,Customer ID
INV1000,2024-04-12,Mobile Devices,South,Returning,Cash,2,535.61,1071.22,P012,C035
INV1001,2024-02-21,Home Appliances,West,Returning,Bank Transfer,3,251.94,755.82,P017,C008
INV1002,2024-04-02,Home Appliances,Central,New,Cash,9,1201.34,10812.06,P020,C046
INV1003,2024-01-15,Home Appliances,West,Returning,Credit Card,7,949.11,6643.77,P005,C014
INV1004,2024-04-16,Accessories,East,New,Credit Card,7,823.52,5764.64,P004,C010
INV1005,2024-03-12,Accessories,West,Returning,Bank Transfer,6,1346.14,8076.84,P012,C002
INV1006,2024-03-01,Accessories,West,Returning,Bank Transfer,8,1193.47,9547.76,P020,C046
INV1007,2024-01-21,Mobile Devices,East,Returning,Bank Transfer,4,269.93,1079.72,P018,C009
INV1008,2024-04-12,Accessories,South,New,Credit Card,8,502.0,4016.0,P017,C003
INV1009,2024-03-23,Mobile Devices,West,Returning,Cash,4,410.31,1641.24,P019,C021
INV1010,2024-03-27,Mobile Devices,South,Returning,Credit Card,8,1128.72,9029.76,P009,C026
INV1011,2024-03-15,Accessories,West,Returning,Cash,9,98.62,887.58,P004,C008
INV1012,2024-03-15,Accessories,South,Returning,Credit Card,3,876.34,2629.02,P002,C048
INV1013,2024-03-28,Accessories,East,New,Cash,3,1155.57,3466.71,P004,C002
INV1014,2024-04-26,Home Appliances,West,Returning,Credit Card,2,1321.31,2642.62,P002,C006
INV1015,2024-04-09,Accessories,East,New,Bank Transfer,3,546.02,1638.06,P015,C028
INV1016,2024-04-13,Home Appliances,West,New,Credit Card,3,1240.82,3722.46,P002,C029
INV1017,2024-01-24,Mobile Devices,East,New,Cash,5,210.42,1052.1,P004,C026
INV1018,2024-01-03,Home Appliances,East,New,Credit Card,5,1277.36,6386.8,P006,C025
INV1019,2024-01-22,Accessories,West,New,Credit Card,2,234.86,469.72,P007,C012
INV1020,2024-02-22,Mobile Devices,West,New,Credit Card,6,626.07,3756.42,P010,C005
INV1021,2024-01-02,Mobile Devices,West,Returning,Bank Transfer,5,1206.08,6030.4,P019,C034
INV1022,2024-03-28,Mobile Devices,Central,New,Credit Card,6,267.38,1604.28,P019,C048
INV1023,2024-04-17,Home Appliances,South,New,Bank Transfer,1,382.41,382.41,P012,C037
INV1024,2024-01-30,Accessories,Central,New,Bank Transfer,5,1097.27,5486.35,P003,C015
INV1025,2024-02-07,Mobile Devices,Central,Returning,Credit Card,9,1094.05,9846.45,P013,C044
INV1026,2024-01-02,Mobile Devices,East,Returning,Credit Card,2,979.66,1959.32,P018,C036
INV1027,2024-03-04,Mobile Devices,West,New,Credit Card,1,1056.23,1056.23,P008,C015
INV1028,2024-02-29,Home Appliances,South,Returning,Cash,9,836.95,7532.55,P015,C043
INV1029,2024-01-21,Home Appliances,East,New,Credit Card,9,415.11,3735.99,P001,C048
INV1030,2024-02-02,Accessories,Central,New,Bank Transfer,9,551.26,4961.34,P003,C023
INV1031,2024-03-16,Home Appliances,West,Returning,Credit Card,6,313.32,1879.92,P008,C006
INV1032,2024-02-27,Mobile Devices,East,New,Cash,8,1367.25,10938.0,P004,C046
INV1033,2024-01-22,Accessories,West,Returning,Credit Card,1,895.92,895.92,P016,C050
INV1034,2024-04-17,Mobile Devices,East,Returning,Cash,4,631.23,2524.92,P010,C044
INV1035,2024-03-29,Mobile Devices,West,New,Cash,1,719.91,719.91,P012,C043
